mit,,Trinken Sie den Kaffee mit Milch?
mitbringen,"带来,领来,捎来",Ich gehe einkaufen. Soll ich dir was mitbringen?
mitkommen,"同来,同去",Ich gehe ins Kino. Kommst du mit?
mitmachen,一起做，参与,Warum macht ihr nicht mit?
mitnehmen,携带，带走，拿走,Nehmen wir meine Schwester ins Kino mit?
die Mitte,,Der Lehrer steht in der Mitte des Klassenzimmers.
die Möbel (pl.),家具,Sind die Möbel neu?
möchten,要,Was möchten Sie trinken?
mögen,想，愿意,Magst du Kaffee oder Tee?
möglich,可能，可行,Mit dieser Fahrkarte ist die Fahrt ab 9 Uhr möglich.
der Moment,,Moment mal bitte!/Einen Moment bitte.
morgen,,Morgen beginnt die Schule um 10 Uhr.
müde,,Ich bin müde. Ich gehe schlafen.
der Mund,嘴巴,öffnen Sie den Mund.
müssen,,Ich muss jeden Tag von 8 Uhr bis 18 Uhr arbeiten.
"die Mutter, -ü",,Frau Berghäuser ist die Mutter von Michaela.
nach,,Ich gehe jetzt nach Hause./Ich fliege nach München./Es ist schon 5 nach 12.
nächst-,,Sehen wir uns nächste Woche?
"der Name, -n",,Mein Name ist Thomas Schmidt./Mein Vorname ist Thomas; Schmidt ist der Familienname.
nehmen,拿，取，搭乘,Heute gibt es Hühnchen. Das nehme ich./Ich nehme den Bus.
nein,,"Fährst du auch nach München? – Nein, ich habe keine Zeit."
neu,,Ich bin der neue Kollege./Wir haben eine neue Wohnung.
nicht,,"Das stimmt nicht./Das ist doch schön, nicht?"
nichts,什么也没有，一点也不,Das macht nichts./Hier kaufe ich nichts. Der Laden gefällt mir nicht.
nie,从不,Er kommt nie pünktlich.
noch,仍然，还，更，还要，也许,Vielleicht kommt er noch./Wir warten noch fünf Minuten./Ich habe noch 20 Euro.
normal,正常，标准,75 kg. Sein Gewicht ist normal.
"die Nummer, -n",,Sie haben Zimmer Nummer zwölf./Welche Hausnummer haben Sie?/Können Sie mir Ihre Nummer geben?
nur,仅，只,Ich möchte nur ein Glas Wasser.
oben,上面，上方,Ich wohne oben.
das Obst,,Im Sommer ist das Obst billig.
oder,,Wann können Sie kommen – heute oder morgen?
öffnen,,Ich öffne die Tür.
geöffnet,,Der Laden ist samstags bis 16.00 Uhr geöffnet.
oft,,Petra treffe ich oft.
ohne,"没有,无,不包括",Ohne Geld kann er nichts kaufen.
das Öl,,Den Salat machen wir ohne Öl.
"die Oma, -s",,Meine Oma ist schon tot.
"der Opa, -s",,Mein Opa heißt Hans.
die Ordnung,整理，整齐,Das ist in Ordnung. 没关系
"der Ort, -e",,Der Ort liegt am Meer.
das Papier,,Hier sind Papier und Bleistift.
die Papiere (pl.),,Haben Sie Ihre Papiere dabei?
"der Partner, -/",,Sie ist meine Partnerin.
"die Partnerin, -nen",,
die Party,,Heute Abend machen wir eine Party.
"der Pass, -ä, e",护照,Im Hotel brauchst du deinen Pass.
"die Pause, -n",,Von 12.00 bis 12.30 Uhr haben wir Mittagspause.
"der Plan, -ä, e",规划，图纸,Ich kaufe mir einen Stadtplan.
"der Platz, -ä, e",座位，广场，地方，职位,"Tut mir leid, der Platz ist besetzt./Bitte nehmen Sie Platz!/Ich wohne Messeplatz 5."
die Polizei,,Holen Sie die Polizei!
die Pommes frites (pl.),油炸土豆条,Die Kinder essen Hühnchen mit Pommes frites.
die Post,,"Wo ist die Post, bitte?/Ist Post da?"
die Postleitzahl,,Wie ist Ihre Postleitzahl?
das Praktikum,校外实习,Ich mache ein Praktikum bei Siemens.
die Praxis,练习，诊所,Die Praxis ist ab acht Uhr geöffnet.
"der Preis, -e",,Die Preise sind hoch.
"das Problem, -e",,Mein Problem ist die Sprache.
"der Prospekt, -e",小册子,Bitte schicken Sie mir einen Prospekt von Ihrem Hotel.
die Prüfung,考试,Die Prüfung ist am Montag um 8.00 Uhr.
pünktlich,,Der Bus fährt pünktlich um acht Uhr./Herr Müller ist immer pünktlich.
Rad fahren,骑自行车,Das Kind kann schon Rad fahren.
rauchen,吸烟,Ich rauche nicht.
"der Raum, -ä, e",房间，屋子,Der Unterricht ist in Raum 332.
"die Rechnung, -en",账单,"Die Rechnung, bitte."
rechts,,Die Schillerstraße ist hier rechts.
regnen,,Heute regnet es.
der Regen,,Bei diesem Regen gehe ich nicht raus.
der Reis,,Ich esse gern Reis.
reisen,,Ich reise gern.
die Reise,,Wir machen eine Reise nach Österreich.
"das Reisebüro, -s",,Mein Mann arbeitet im Reisebüro.
der Reiseführer,导游,Ich kaufe mir einen Reiseführer von Berlin./Unser Reiseführer heißt Peter.
reparieren,,Er hat das Fahrrad repariert.
die Reparatur,修理，修复,Die Reparatur ist sehr teuer.
"das Restaurant, -s",,Wir essen heute in einem Restaurant.
die Rezeption,前台，服务处,Fragen Sie bitte im Hotel an der Rezeption.
richtig,,Habe ich das richtig verstanden?/Das ist richtig.
riechen,闻 气味,Dieser Wein riecht gut.
ruhig,平静的，安静的,Ich möchte ein ruhiges Zimmer.
der Saft,,Möchtest du einen Apfelsaft?
sagen,说，讲，告诉,"Sag mal, wie geht es dir denn?"
der Salat,,Wie schmeckt dir der Salat?
das Salz,盐,"Herr Ober, kann ich bitte Salz haben?"
"Satz, -ä, e",句子,Dieser Satz ist sehr einfach.
die S-Bahn,,Ich nehme lieber die S-Bahn.
der Schalter,开关，窗口,Gehen Sie bitte zum Schalter drei!
scheinen,照耀，发光,Die Sonne scheint.
schicken,,Bitte schicken Sie mir eine E-Mail.
"das Schild, -er",牌子，标签,Haben Sie nicht das Schild gesehen?
"der Schinken, –",,Ich möchte gern ein Schinkenbrot.
schlafen,,Ich schlafe meistens acht Stunden.
schlecht,坏的，不理想的,Mir ist schlecht!/Sie sehen schlecht aus./Wir haben schlechtes Wetter.
schließen,,"Bitte, schließen Sie die Tür."
geschlossen,封闭，关闭,Die Bank hat am Samstag geschlossen.
der Schluss,结尾，终结,Ich muss jetzt Schluss machen./Zum Schluss gibt er uns allen die Hand.
"der Schlüssel, –",,Ich gebe Ihnen noch den Zimmerschlüssel.
schmecken,,Schmeckt das gut?
schnell,,Er fährt schnell.
schon,就，已经,Ist das Essen schon fertig?
schön,,Schönen Urlaub!/Das ist sehr schön.
"der Schrank, -ä, e",,Die Gläser stehen im Schrank.
schreiben,,Er schreibt jeden Tag fünfzig E-Mails.
"der Schuh, -e",,Zieh die Schuhe aus!
die Schule,,Meine Tochter geht schon in die Schule./Die Schule ist gleich hier um die Ecke.
"der Schüler, –",,In meinem Kurs sind acht Schülerinnen und fünf Schüler.
schwer,有…重量的，沉重的,Ist Ihr Gepäck sehr schwer?/Das ist eine schwere Arbeit.
"die Schwester, -n",,Meine Schwester kommt am Dienstag.
schwimmen,,Ich schwimme jeden Tag einen Kilometer.
das Schwimmbad,,Kommst du mit ins Schwimmbad?
der See,,"Komm, wir fahren zum Starnberger See."
sehen,,Ich kann dich nicht sehen./Ich habe diesen Jungen schon einmal gesehen.
"die Sehenswürdigkeit, -en",景象，景点,Welche Sehenswürdigkeiten gibt es in Frankfurt?
sehr,非常，很多,Danke sehr!/Das ist sehr schwer.
sein,,Herr Müller ist in seinem Zimmer./Mir ist kalt./Ich bin dreiundzwanzig.
an sein,,Das Licht ist noch an.
auf sein,,Das Fenster ist noch auf.
weg sein,,Herr Meier ist schon weg.
zu sein,,Die Tür ist zu.
seit,自从，自…以来,Ich wohne seit drei Jahren in Köln.
selbstständig,自主的，独立的,Er ist selbstständig.
sich,自己，本身,Sie müssen sich erst anmelden.
sie,,Wie heißt sie?
Sie,,"Wie heißen Sie, bitte?"
sitzen,坐，住，处于,Wo sitzen Sie?
so,如此，这样，那么,"Sie müssen das so machen!/Fahren Sie bitte nicht so schnell!/Meine Frau ist so groß wie ich./So, das war‘s/wär‘s!"
das Sofa,,Das Sofa ist neu.
sofort,立即，马上,Bitte antworten Sie sofort.
"der Sohn, -ö, e",,"Das ist Hans, mein Sohn."
sollen,应当,Soll ich kommen?/Was soll ich mitbringen?
die Sonne,,Die Sonne scheint.
spät,迟的，晚的,"Es ist schon spät, ich muss gehen."
später,今后的，后来的，以后,Das können wir später machen.
die Speisekarte,菜单,"Bringen Sie mir die Speisekarte, bitte."
spielen,,Die Kinder spielen draußen./Spielen Sie Karten?
der Sport,,Ich mache viel Sport.
"die Sprache, -n",,Welche Sprachen sprichst du?
sprechen,,Kann ich (mit) Herrn Klein sprechen?
"die Stadt, -ä, e",,Heidelberg ist eine alte Stadt.
stehen,,"Ich glaube es nicht, aber es steht in der Zeitung./Der Bus steht schon an der Haltestelle."
"die Stelle, -n",位置，职务,Ich habe eine neue Stelle.
stellen,,Stell die Tasche rechts in die Ecke!
der Stock,,Unsere Wohnung liegt im ersten Stock.
"die Straße, -n",,In welcher Straße wohnen Sie?
die Straßenbahn,,Wo fährt die Straßenbahn ab?
studieren,,Ich studiere in Mainz.
das Studium,（大学）学习，学业,Das Studium beginnt im Oktober.
"der Student, -en",,Ich bin Studentin.
"die Stunde, -n",一小时，课时,Ich bin in einer Stunde zurück.
suchen,,Suchst du etwas?
tanzen,跳舞,Tanzen Sie gern?
"die Tasche, -n",衣袋，口袋，手提包,Ich habe die Schlüssel in der Tasche.
"das Taxi, -s",,Es gibt heute keinen Bus mehr. Er fährt mit dem Taxi.
der Tee,,Ich trinke morgens immer Tee.
"der Teil, -e",份，份额,Lies bitte auch den zweiten Teil.
telefonieren,打电话，通电话,Darf ich mal telefonieren?
das Telefon,,Haben Sie Telefon?
"der Termin, -e",,Am besten machen wir sofort einen Termin.
der Test,,Der Test war einfach.
teuer,,Das ist mir zu teuer.
"der Text, -e",,Lesen Sie bitte diesen Text.
das Thema,主题，课题,Wir sprechen heute über das Thema Essen und Trinken.
"das Ticket, -s",,Wie viel kostet das Ticket?
"der Tisch, -e",,Die Fotos liegen auf dem Tisch.
"die Tochter, -ö",,Das ist meine Tochter Katharina.
"die Toilette, -en",,"Wo ist die Toilette, bitte?"
"die Tomate, -n",,Die Tomate ist noch grün.
tot,死去的，枯萎的,Sein Vater ist schon lange tot.
(sich) treffen,,Ich treffe in der Stadt einen Kollegen./Wir treffen uns immer freitags.
"die Treppe, -n",,Die Toilette? Die Treppe hoch und dann links.
trinken,,Möchtest du etwas trinken?
tschüss,,Junge Leute sagen meistens tschüss! und nicht auf Wiedersehen.
tun,行为，做,Ich habe noch etwas zu tun./Was tut Ihr Mann?
über,,Gehen Sie hier über die Straße./Er wohnt im zweiten Stock über Familie Meier./Sind Sie über 18?
übernachten,过夜,Du kannst bei mir übernachten.
überweisen,汇款,Sie können das Geld auch überweisen.
die Uhr,,Es ist vier Uhr.
um,,Er kommt um sieben Uhr./Da kommt er gerade um die Ecke.
umziehen,搬家，搬运,Nächsten Monat ziehen wir um.
und,,Peter und Helmut sind meine Söhne.
unser-,,Das ist unsere Lehrerin.
unten,"下面,底下,下端,下边",Er wohnt ganz unten im Haus.
unter,,Unter uns wohnt eine Familie mit drei Kindern.
der Unterricht,课程,Wir haben Unterricht von 8.00 bis 12.00 Uhr.
unterschreiben,在（上面）签字，在（下面）署名,Wo muss ich unterschreiben?
die Unterschrift,署名，签名,Hier fehlt noch Ihre Unterschrift.
der Urlaub,,Ich nehme im September Urlaub.
"der Vater, -ä",,Mein Vater ist Arbeiter.
verboten,禁止的,Hier ist Rauchen verboten.
verdienen,"挣,赚",Ich verdiene 1.500 Euro im Monat.
der Verein,协会，联合会，社团,Es gibt einen neuen Sportverein in der Stadt.
verheiratet,,Ich bin verheiratet und habe drei Kinder.
verkaufen,卖，出售,Er verkauft sein altes Auto.
"der Verkäufer, –",,Meine Mutter ist Verkäuferin im Kaufhaus.
vermieten,出租,Die Wohnung ist schon vermietet.
der Vermieter,房东,Unser Vermieter heißt Huber. Er wohnt auch hier.
verstehen,清楚，明白，理解,Können Sie mich verstehen?
"der Verwandte, -n","亲戚,亲属,亲人",Peter besucht seine Verwandten in Polen.
viel,,Hier regnet es viel.
vielleicht,也许，可能，大约,Ich komme vielleicht mit dem Bus.
von,从…来，从…开始,Das Auto von Felix ist kaputt./Er kommt gerade von Köln/von zu Hause.
vor,在前面，由于，因为,Der Termin war vor einer Stunde./Das Auto steht vor der Tür.
"der Vorname, -n",,"Ich heiße Müller, mein Vorname ist Eva."
die Vorsicht,,Vorsicht! Da kommt ein Auto.
(sich) vorstellen,把…向前领，介绍,Wir wollen uns kennenlernen. Können Sie sich bitte vorstellen?
die Vorwahl,预选，区号,Wie ist die Vorwahl von München?
wandern,徒步,Wir wandern um den Chiemsee.
wann,,Wann bist du fertig?/Wann kann ich Sie anrufen?/Wann sind Sie geboren?
warten,,Können Sie ein paar Minuten warten?/Auf wen warten Sie?
warum,为什么,Warum kommt er nicht?
was,,Was ist das?/Was möchten Sie?
was für ein,,Was für eine Farbe möchten Sie?
(sich) waschen,洗，冲洗,Wo kann ich mir die Hände waschen?/Ich muss morgen waschen.
das Wasser,,"Ein Glas Wasser, bitte."
weh tun,,Ich muss zum Arzt. Mein Bein tut weh.
weiblich,,Kreuzen Sie bitte an: weiblich oder männlich.
der Wein,,"Nein danke, ich möchte keinen Wein."
weit,广阔，辽阔，宽大,Zum Bahnhof ist es nicht weit.
weiter,weit 比较级,Der Bus fährt nicht weiter.
welch-,,Welches Buch möchtest du?
die Welt,世界,Es gibt viele Probleme auf der Welt.
wenig,少数，少量,Ich habe leider nur wenig verstanden./Er verdient wenig.
wer,,Wer ist das?
werden,成为，进展,Mein Sohn will Arzt werden.
das Wetter,天气,Wir hatten schlechtes Wetter.
wichtig,重要的，严重的,Dieses Formular ist sehr wichtig.
wie,,Wie heißt du?/Er schreibt wie ein Kind./Meine Frau ist so groß wie ich./Wie soll ich das machen?/Wie groß ist die Wohnung?/Wie bitte?/Wie lange bist du schon hier?
wiederholen,取回，复习，重复,Können Sie das bitte wiederholen?
das Wiederhören,,Wir müssen jetzt Schluss machen.Also auf Wiederhören!
das Wiedersehen,,Auf Wiedersehen!
wie viel,,Wie viel Milch nehmen Sie?
willkommen,,Herzlich willkommen!
der Wind,,Der Wind kommt aus Osten.
wir,,Wir lernen Deutsch.
wissen,知道，了解,"Weißt du, wie er heißt?"
wo,,Wo waren Sie im Urlaub?/Wo ist die Post?/Wo sind Sie geboren?
woher,,Woher kommen Sie?
wohin,到哪儿,Wohin fährt dieser Bus?/Wohin wollen Sie am Wochenende?
wohnen,,Ich wohne in München.
"die Wohnung, -en",,Seit wann haben Sie diese Wohnung?
wollen,,Wollen Sie einen Kaffee trinken?
"das Wort, -ö, er/-e",,Ich kenne das Wort nicht.
wunderbar,奇妙的，不可思议的,Das Essen schmeckt wunderbar.
zahlen,付款，支付,"Zahlen, bitte!"
die Zeit,,Ich habe heute keine Zeit.
zurzeit,现在，目前,Zurzeit habe ich sehr viel zu tun.
"die Zeitung, -en",,Ich lese gern Zeitung.
"die Zigarette, -n",香烟,Wie teuer sind die Zigaretten?
"das Zimmer, –",,"Das Zimmer ist groß./öffne im Schlafzimmer das Fenster, bitte!/Die Wohnung hat drei Zimmer./Ich habe ein Zimmer bestellt."
der Zoll,海关，税,Wir müssen noch durch den Zoll.
zu,,Der Bus fährt zum Bahnhof./Ich gehe zu Fuß./Ich bin zu Hause.
zufrieden,满意的,Ich bin mit der Wohnung zufrieden.
"der Zug, -ü, e",,Ich fahre gern mit dem Zug.
zurück,向后，返回,Einmal Frankfurt und zurück./Wann kommst du zurück?
zusammen,共同，合计,Sollen wir zusammen essen gehen?/Das macht zusammen 2 Euro 80.
zwischen,,Heidelberg liegt zwischen Frankfurt und Stuttgart./Zwischen 8 und 10 Uhr bin ich zu Hause.
eins,,
zwei,,
drei,,
vier,,
fünf,,
sechs,,
sieben,,
acht,,
neun,,
zehn,,
elf,,
zwölf,,
dreizehn,,
vierzehn,,
fünfzehn,,
sechzehn,,
siebzehn,,
achtzehn,,
neunzehn,,
zwanzig,,
einundzwanzig,,
dreißig,,
vierzig,,
fünfzig,,
sechzig,,
siebzig,,
achtzig,,
neunzig,,
(ein)hundert,,
hunderteins,101,
zweihundert,,
(ein)tausend,,
"eine Million, =en",,
"eine Milliarde, =en",,
erste,,
zweite,,
dritte,,
vierte,,
ein halb; halb,1/2,
ein Viertel; Viertel,1/4,
neunzehnhundertneunundneunzig,1999,
zweitausendvierzehn,2014,
heute ist der erste März/der erste Dritte,3月1日,heute ist der 1. März
"Berlin, 12. April 2002",,"Berlin, zwölfter Vierter zweitausendzwei"
0.03 Uhr,,null Uhr drei
7.15 Uhr,,sieben Uhr fünfzehn
13.17 Uhr,,dreizehn Uhr siebzehn
24.00 Uhr,,vierundzwanzig Uhr
ein Uhr,,
fünf Minuten vor/nach eins,,
Viertel vor/nach zwei,,
halb drei,,
"die Sekunde, -n",秒,
"die Minute, -n",分钟,
"die Stunde, -n",小时,
"der Tag, -e",,
"die Woche, -e",,
"das Jahr, -e",,
"der Wochentag, -e",,
der Sonntag,,
der Montag,,
der Dienstag,,
der Mittwoch,,
der Donnerstag,,
der Freitag,,
der Samstag/Sonnabend,,
das Wochenende,,
am Wochenende,,
der Tag,,
der Morgen,,
"der Vormittag,-e",,
der Mittag,,
"der Nachmittag,-e",,
"der Abend,-e",,
"die Nacht,¨-e",,
der Januar,,
der Februar,,
der März,,
der April,,
der Mai,,
der Juni,,
der Juli,,
der August,,
der September,,
der Oktober,,
der November,,
der Dezember,,
der Frühling/das Frühjahr,,
der Sommer,,
der Herbst,,
der Winter,,
1 Euro,,
100 Cent,,
ein Meter,1 m,
ein Zentimeter,1 cm,
ein Meter fünfzehn,"1,15 m",
zweihundert Kilometer,200 km,
ein Quadratmeter,一平米,
ein Grad unter Null/minus ein Grad,– 1°,
vier Grad über Null/plus vier Grad,+ 4°,
ein Prozent,1 %,
ein Liter,1 I,
ein Gramm,1 g,
ein Pfund,500 g,
ein Kilo(gramm),1 kg,
Deutschland,,
"der/die Deutsche, -n",,
"ein Deutscher, eine Deutsche, Deutsche,",,
deutsch,,
Europa,,
Europäer,,
europäisch,,
"Türkei, Türke/Türkin, -nen, türkisch",,
"Finnland, Finne/Finnin, -nen, finnisch",,
"Mexiko, Mexikaner/Mexikanerin, -nen, mexikanisch",,
schwarz,,
weiß,,
grau,,
blau,,
grün,,
rot,,
gelb,,
braun,,
der Norden,北,
der Süden,南,
der Westen,西,
der Osten,东,
